日期,用户ID,经度,纬度,车辆编号,距离,时间
2015/10/01,O,116.282381,39.643378,云鸟70,0,0
2015/10/01,16891629100,116.323803,40.067079,云鸟70,54997,44
2015/10/01,43478631800,116.323803,40.067079,云鸟70,0,0
2015/10/01,15492631800,116.33954,40.077565,云鸟70,2488,4
2015/10/01,15415630000,116.352539,40.080726,云鸟70,1993,2
2015/10/01,15000629700,116.373942,40.082001,云鸟70,2766,3
2015/10/01,19289629000,116.630687,40.314928,云鸟70,45547,39
本车合计,,,,云鸟70,107791,92
2015/10/01,O,116.282381,39.643378,云鸟10,0,0
2015/10/01,15338629600,116.258705,39.929633,云鸟10,39721,39
2015/10/01,16377630900,116.258705,39.929633,云鸟10,0,0
2015/10/01,26438631000,116.258705,39.929633,云鸟10,0,0
2015/10/01,25698629800,116.250288,39.929435,云鸟10,1038,1
2015/10/01,12447631000,116.270526,39.929854,云鸟10,2070,22
2015/10/01,12447631900,116.270526,39.929854,云鸟10,0,0
2015/10/01,4170630570,116.267067,39.929012,云鸟10,711,3
2015/10/01,4544629030,116.264542,39.929382,云鸟10,234,1
2015/10/01,24323631100,116.264661,39.929464,云鸟10,7,1
2015/10/01,25697629800,116.264661,39.929464,云鸟10,0,0
2015/10/01,49449631700,116.643999,39.899845,云鸟10,35678,34
本车合计,,,,云鸟10,79459,101
2015/10/01,O,116.282381,39.643378,云鸟64,0,0
2015/10/01,38712631700,116.430962,39.917019,云鸟64,41211,37
2015/10/01,9736629800,116.426193,39.920376,云鸟64,1130,4
2015/10/01,45845631200,116.426373,39.918313,云鸟64,229,1
2015/10/01,10609629400,116.426353,39.917274,云鸟64,114,1
2015/10/01,38887630500,116.429534,39.915393,云鸟64,486,2
2015/10/01,57764629900,116.429534,39.915393,云鸟64,0,0
2015/10/01,10265630800,116.432535,39.915386,云鸟64,282,1
本车合计,,,,云鸟64,43452,46
2015/10/01,O,116.282381,39.643378,云鸟27,0,0
2015/10/01,25646629300,116.33233,39.950395,云鸟27,40710,38
2015/10/01,14549629400,116.319909,39.956602,云鸟27,1802,6
2015/10/01,5719630560,116.317346,39.95705,云鸟27,231,1
2015/10/01,24531629900,116.326649,39.964409,云鸟27,1683,4
2015/10/01,32070631100,116.323127,39.960614,云鸟27,908,2
2015/10/01,8782631160,116.325625,39.966562,云鸟27,1239,3
本车合计,,,,云鸟27,46573,54
2015/10/01,O,116.282381,39.643378,一号货车19,0,0
2015/10/01,34557629800,116.20018,39.814425,一号货车19,26193,32
2015/10/01,30042631600,116.210674,39.844818,一号货车19,4274,9
2015/10/01,31955630700,116.210674,39.844818,一号货车19,0,0
2015/10/01,31955631600,116.210674,39.844818,一号货车19,0,0
2015/10/01,26740631900,116.194843,39.849673,一号货车19,2921,9
2015/10/01,52594630000,116.194843,39.849673,一号货车19,0,0
2015/10/01,30159630500,116.196316,39.851897,一号货车19,585,5
2015/10/01,26472630800,116.188901,39.852456,一号货车19,809,5
2015/10/01,26749631200,116.188901,39.852456,一号货车19,0,0
2015/10/01,56699629800,116.161546,39.864251,一号货车19,3562,9
2015/10/01,34906630900,116.161546,39.864251,一号货车19,0,0
2015/10/01,28749631100,116.145622,39.858746,一号货车19,1509,1
本车合计,,,,一号货车19,39853,70
2015/10/01,O,116.282381,39.643378,云鸟17,0,0
2015/10/01,8048631670,116.493155,39.835922,云鸟17,39268,34
2015/10/01,9261631430,116.477135,39.911182,云鸟17,9508,27
2015/10/01,191631860,116.476997,39.910301,云鸟17,189,1
2015/10/01,8097631130,116.475916,39.906211,云鸟17,591,1
2015/10/01,8097631320,116.475916,39.906211,云鸟17,0,0
2015/10/01,1759629340,116.471933,39.909183,云鸟17,1043,1
